rec_id,subscriber_id,amount,recharge_date
rec_179,sub_16,50,2026-07-21
rec_180,sub_42,50,2026-07-12
rec_181,sub_42,50,2026-08-21
rec_182,sub_36,50,2026-07-24
rec_183,sub_60,10,2026-07-20
rec_184,sub_22,10,2026-08-01
rec_185,sub_40,100,2026-08-15
rec_186,sub_64,10,2026-07-30
rec_187,sub_88,100,2026-07-31
rec_188,sub_31,100,2026-07-05
rec_189,sub_16,20,2026-08-03
rec_190,sub_83,50,2026-08-11
rec_191,sub_40,10,2026-08-11
rec_192,sub_61,20,2026-07-23
rec_193,sub_79,10,2026-08-09
rec_194,sub_4,100,2026-07-07
rec_195,sub_59,10,2026-08-26
rec_196,sub_55,50,2026-08-10
rec_197,sub_61,100,2026-07-13
rec_198,sub_20,100,2026-07-25
rec_199,sub_20,20,2026-07-26
rec_200,sub_3,50,2026-07-18
rec_201,sub_75,100,2026-07-12
